text,label
you left work early today,stalker_behavior
"sab dikhawa hai, asli me kuch nahi",harassment_med
"tum itni khoobsurat ho, control nahi hota",creepy_flirt
tumhara moral zero hai,harassment_med
tumhara level hi low hai,harassment_med
behenji style,harassment_mild
tumhari presence light lagti hai,safe
too skinny,harassment_med
fatso,harassment_med
heartbeat,creepy_flirt
tumhari photo natural aur sweet hai,safe
you entered building with your friend,stalker_behavior
tumne story me same location dali,stalker_behavior
pure-hearted person,safe
dark underarms,harassment_mild
bhot khoobsurat,safe
oily,harassment_mild
You are so silly and pathetic.,harassment_severe
tumhara smile dil le gaya,creepy_flirt
sweet heart,creepy_flirt
you stood near flower shop,stalker_behavior
you took right turn near school,stalker_behavior
"loved this post, so real",safe
nice energy,safe
tumhare bina lagta hai insta khali hai,creepy_flirt
you’re a total disaster online,harassment_severe
kal raat sapne mein thi tum,creepy_flirt
tumhare jaise ladki mil jaye toh life set,creepy_flirt
you took auto number 2185,stalker_behavior
everyone would be better off without your posts,harassment_severe
mar ja,harassment_severe
tum shopping street pe slow walk kar rahi thi,stalker_behavior
you should be publicly reprimanded,harassment_severe
fire girl,safe
tumhari har post save karta hoon,creepy_flirt
lips bade lag rahe,harassment_mild
you’re driving me crazy,creepy_flirt
chin weird hai,harassment_mild
ye ladki toh poori attention seeker hai,harassment_med
say something,creepy_flirt
tumhe dekh ke din ban gaya,creepy_flirt
nobody wants you here,harassment_severe
tum garden ke bench pe thi kal,stalker_behavior
hate face,harassment_med
tumhe dekh ke dil shant ho jata hai,creepy_flirt
waiting,creepy_flirt
tum kuch khaas nahi,harassment_mild
tum parking lot ke pass thi,stalker_behavior
tumhare jaise log dikhawa karte hain respect ka,harassment_mild
you looked like a goddess,creepy_flirt
tere jaise log bas attention ke liye jeete hai,harassment_med
vibe check,safe
tumhe lagta hai koi kuch nahi karega?,harassment_severe
too loud,harassment_mild
tumhare jaise log sirf problem create karte hai,harassment_med
i saw you entering the library today,stalker_behavior
you forgot your bottle at desk,stalker_behavior
body loose hai,harassment_med
tumhara expression natural hai,safe
tum sirf attention ke liye logon ko use karti ho,harassment_med
no one takes you seriously,harassment_med
alwaysonline,creepy_flirt
thick arms,harassment_mild
tumhe sabke saamne girane wala hoon,harassment_severe
gain weight,harassment_mild
such a positive vibe here,safe
tum fake innocence dikhati ho,harassment_mild
tumhe dekh ke lagta hai love ho gaya,creepy_flirt
dreamgirl,creepy_flirt
kal wali reel dekh ke heart aa gaya,creepy_flirt
possessive,creepy_flirt
your posts are attention seeking,harassment_mild
"stop trying to look good, it’s pathetic",harassment_severe
body dekh apni,harassment_med
tum jaise ladkiyon ki wajah se sabki badnaami hoti hai,harassment_med
"besharam kahin ki, ghar pe koi nahi samjhata kya",harassment_severe
i love how kind you are,safe
people regret interacting with you,harassment_severe
great,safe
nobody here even likes you,harassment_med
you’re always so dramatic,harassment_mild
eliminate,harassment_severe
accha,safe
nice,safe
perfect,safe
outfit chhoti hai,harassment_mild
your voice is calming,safe
you were waiting under tree shade,stalker_behavior
you make everything worse for everyone,harassment_severe
acne marks bhare,harassment_mild
lipstick over,harassment_mild
tum toh kamaal lag rahi ho,creepy_flirt
babe,creepy_flirt
fat lag rahi,harassment_med
tumhari soch bohot positive hai,safe
love your simplicity,safe
"you’re a bad influence, get gone",harassment_severe
kitni moti lagti,harassment_med
tum kuch alag hi feel deti ho,creepy_flirt
tumhara naam har kisi ke saath joda jata hai,harassment_severe
tumhare jaise ladkiyon pe koi bharosa nahi karta,harassment_severe
you’re a major source of annoyance,harassment_severe
"tum kuch bhi kar lo, log nahi pasand karte",harassment_med
"Stop talking, or I will post your nudes everywhere.",harassment_severe
dumb,harassment_mild
tum apne followers ko manipulate karti,harassment_med
what a lovely post,safe
eyes,creepy_flirt
you cause problems wherever you post,harassment_severe
tumne shopping bag pe tag lagaya,stalker_behavior
tum apne jaise hi log attract karti ho,harassment_mild
nobody likes you slut,harassment_severe
tumhara energy level amazing hai,safe
tumhare office ke pass dekha,stalker_behavior
no one likes every fat snack u do bitch.,harassment_severe
naughty,creepy_flirt
real photo daalo,harassment_mild
vibingwithu,creepy_flirt
you look annoying in every video,harassment_med
overacting karne se star nahi banti,harassment_med
you look cheap in every photo,harassment_med
cheap looking,harassment_med
face fat ho gaya,harassment_mild
tum offline jao toh bura lagta hai,creepy_flirt
end,harassment_severe
ghatiya style,harassment_med
tumhare posts dekh ke dil khush ho jaata hai,creepy_flirt
your actions make you untrustworthy,harassment_severe
tumhare jaise logon ki wajah se trust nahi karte,harassment_severe
"bahut bolti ho, ek din chup kara denge",harassment_severe
pathetic,harassment_med
beautiful vibes,safe
nice shot,safe
kaali lagti,harassment_med
chapri look,harassment_med
tumhe khud bhi pata nahi kya kar rahi ho,harassment_med
tumhara opinion matter nahi karta,harassment_med
tum basic lagti ho har time,harassment_mild
tatti post,harassment_severe
tum bookshop me 15 mins thi,stalker_behavior
nice-try,harassment_mild
tum social media pe apni izzat khud gira rahi ho,harassment_med
koi bhi tumhe seriously nahi dekhta,harassment_med
tum road cross karte hue dekhi gayi,stalker_behavior
uneven tone,harassment_mild
you looked soooo good in your last pic,creepy_flirt
i keep thinking about you.,creepy_flirt
i can’t stop thinking about you,creepy_flirt
no one cares about you or your posts,harassment_severe
you carried same bag again today,stalker_behavior
thodi gym ja,harassment_mild
so tempting,creepy_flirt
itni gandi reel banayi hai,harassment_med
people only talk to you out of pity,harassment_med
tumhara smile sabse pyara hai,safe
full drama,harassment_mild
i love your posts,safe
you were checking your reflection,stalker_behavior
you waited for cab near mall,stalker_behavior
you add nothing but drama,harassment_severe
tatti face,harassment_severe
cheap outfit,harassment_med
chill vibes,safe
you were talking to shopkeeper long,stalker_behavior
your online presence is completely unbearable,harassment_severe
face phool gaya,harassment_mild
